""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"47.5%"	0.0370176126693335	0.0523323848602756	5.65571138644951e-07	0.0861957479991307	0.410149669672524	-277397.058228774	383205
"50%"	0.0370184781154777	0.0523353216005053	6.07437460670333e-07	0.0862187994827602	0.41016449891926	-277396.952145465	383205
"52.5%"	0.0370193060408407	0.0523387788490766	6.51906309852614e-07	0.0862437000944702	0.410177342922652	-277396.85164816	383205
"55%"	0.0370201519213096	0.0523418289351221	6.92282251325206e-07	0.086270663741264	0.410192273078228	-277396.752088309	383205
"57.5%"	0.0370209719870188	0.0523457803654196	7.51137601711428e-07	0.0862934161018989	0.410204908189588	-277396.654218776	383205
"60%"	0.0370218138263804	0.0523493732974188	8.26152003326472e-07	0.0863155878664118	0.410216896452964	-277396.55932106	383205
"62.5%"	0.0370226785546401	0.0523532953609021	8.79320363892245e-07	0.0863399113396102	0.410231824775855	-277396.475275789	383205
"65%"	0.0370236831114898	0.0523567342089918	9.26399272283366e-07	0.0863701389845568	0.410245961834871	-277396.382507828	383205
"67.5%"	0.037024669724942	0.0523604946994053	9.91294019371775e-07	0.0863956079146157	0.410259330470224	-277396.297238865	383205
"70%"	0.0370254474270873	0.0523642654735616	1.06503872232417e-06	0.0864251293269337	0.410275158689325	-277396.209950909	383205
"72.5%"	0.0370263693225444	0.0523680830921624	1.14893510533139e-06	0.0864509492018449	0.410292339813207	-277396.121467224	383205
"75%"	0.0370274342460985	0.0523724192532756	1.22681040192427e-06	0.0864788175142318	0.410308947555147	-277396.034423234	383205
"77.5%"	0.0370285415041929	0.0523774121575128	1.32268062906638e-06	0.086510837212313	0.410324525344639	-277395.936938073	383205
"80%"	0.0370296282033781	0.0523821918539693	1.43197049693048e-06	0.0865493588911179	0.410342605352952	-277395.841938224	383205
"82.5%"	0.0370308802228275	0.0523865957901169	1.55917378678144e-06	0.0865864759628238	0.410361995612358	-277395.74312045	383205
"85%"	0.0370325640357734	0.0523917971204624	1.67811559876474e-06	0.0866267522592112	0.410383949555264	-277395.641460498	383205
"87.5%"	0.0370340988739206	0.0523975458963767	1.86023268525765e-06	0.0866740942874075	0.410407565079148	-277395.523798103	383205
"90%"	0.037035883618734	0.0524043745717835	2.04867342125377e-06	0.086728753762103	0.410436013612336	-277395.415118948	383205
"92.5%"	0.0370375368268721	0.0524135841141723	2.30610849546322e-06	0.0867900042354576	0.410468261807325	-277395.280746734	383205
"95%"	0.03704011180752	0.0524240967150536	2.65236044666653e-06	0.0868690657822054	0.410511263221799	-277395.132519214	383205
"97.5%"	0.0370445984263993	0.0524429581420383	3.25340059496294e-06	0.0870142182742813	0.410573219569665	-277394.957074472	383205
"100%"	0.0370750219972821	0.0525294492157492	9.96923000158076e-06	0.0875970860160899	0.410938280579473	-277394.423836745	383205
"Mean"	0.0359812333922754	0.039494932616569	3.60582714241862e-07	0.0844064837786447	0.407594464830136	59651.6682762952	507264
"Std."	7.60515594038732e-06	2.94852964579351e-05	3.39617337888e-07	0.000273726707235189	0.000115892619819236	1.68467404119436	507264
"Acceptance ratio"	0.1644	0.2015	0.03282	0.11982	0.1913	0.53916	507264
"0%"	0.0359500029428221	0.0393791428951317	1.08516164130616e-11	0.0834211182800005	0.407109024833488	59638.1557721449	507264
"2.5%"	0.035966229576826	0.0394354610953439	1.15579119418121e-08	0.0838903497682653	0.407363719014016	59647.5706920959	507264
"5%"	0.0359687246403087	0.0394462581991092	1.91921695112536e-08	0.0839708688821892	0.407403510561683	59648.5072014062	507264
"7.5%"	0.0359703578850587	0.0394527685406225	3.18984236013525e-08	0.0840229406938819	0.40742708730534	59649.0330328512	507264
"10%"	0.0359716191401204	0.0394569866711993	4.57117883074055e-08	0.0840585630763225	0.407443435843782	59649.419679217	507264
"12.5%"	0.0359726285169228	0.039460926137842	5.95132536526011e-08	0.0840869214160226	0.40745863829268	59649.7276301524	507264
"15%"	0.0359736148159311	0.0394640000887073	6.74998752057947e-08	0.0841162536366696	0.407472224192714	59649.9759187307	507264
"17.5%"	0.0359743349582107	0.0394672572359192	7.93023322568413e-08	0.0841401661116472	0.407487108897817	59650.1998352053	507264
"20%"	0.0359750455866579	0.0394702529915227	8.60751236326201e-08	0.084164576094381	0.407497842016362	59650.3856222564	507264
"22.5%"	0.0359756477815107	0.039472805539782	9.51369782610468e-08	0.0841955428471	0.407508050261717	59650.569774447	507264
"25%"	0.0359762721483597	0.0394748909656289	1.11666678965084e-07	0.0842149600442802	0.407518252681193	59650.7413388714	507264
"27.5%"	0.0359767522641629	0.0394772993868784	1.25623723186198e-07	0.0842351981649075	0.407526430437554	59650.8957989231	507264
"30%"	0.0359772389915082	0.0394792499801053	1.39954396177649e-07	0.0842563317450609	0.407536104201395	59651.0480546737	507264
"32.5%"	0.0359777031012843	0.039481377947736	1.53884981087271e-07	0.0842750074910512	0.407544718513724	59651.1881606333	507264
"35%"	0.0359782616985658	0.0394835058499663	1.77321691280671e-07	0.0842947962228634	0.407551972032991	59651.3211397789	507264
"37.5%"	0.0359788372230655	0.039485444513505	1.91156881598102e-07	0.0843144038495733	0.407559077652387	59651.4457374322	507264
"40%"	0.035979306000332	0.0394877755113324	2.07791359369126e-07	0.0843309835753514	0.407566027485989	59651.5603887532	507264
"42.5%"	0.0359798347947917	0.0394894720703971	2.21916255799824e-07	0.0843453212616559	0.407573372548766	59651.6705845874	507264
"45%"	0.0359802421321186	0.0394911665872461	2.35859650206266e-07	0.0843650654794922	0.407580861240275	59651.7748934487	507264
"47.5%"	0.0359806793987839	0.039492812564103	2.53423718249884e-07	0.0843851529243479	0.407589026161817	59651.8714979803	507264
"50%"	0.0359811300943582	0.0394950634440683	2.73773942841429e-07	0.0844059045565383	0.407595961691715	59651.9739600862	507264
"52.5%"	0.0359816072655104	0.0394972350200252	2.93685560082453e-07	0.0844249350425497	0.40760202903771	59652.066100996	507264
"55%"	0.0359820644703197	0.0394991732652262	3.12753233825881e-07	0.0844412977696573	0.407609358220881	59652.1594998464	507264
"57.5%"	0.0359825489946474	0.03950104319002	3.25845945790474e-07	0.084457901761651	0.40761679051931	59652.2471649088	507264
"60%"	0.0359830136589829	0.0395031330562452	3.37336063172444e-07	0.0844718607646128	0.407623703271779	59652.3374047566	507264
"62.5%"	0.0359835385405948	0.03950504229642	3.56720837026674e-07	0.0844894186902095	0.40763118844388	59652.4374695309	507264
"65%"	0.0359839743675527	0.039507123036904	3.77002169020503e-07	0.0845076806055753	0.407639063588821	59652.5345301057	507264
"67.5%"	0.0359845258821192	0.0395091523760519	4.05086132510266e-07	0.0845286213868454	0.407646815597235	59652.6269409963	507264
"70%"	0.0359850954992853	0.0395111054748887	4.35334514213968e-07	0.0845510924216398	0.407654510617731	59652.7219086497	507264
"72.5%"	0.0359855642924193	0.0395130860894101	4.51900759419369e-07	0.0845726565443199	0.407662309698041	59652.8170884876	507264
"75%"	0.0359861844177963	0.039515132481045	4.8335093427346e-07	0.0845886253731502	0.407670596799643	59652.9083142972	507264
"77.5%"	0.0359868515548258	0.0395175404606463	5.08872137549379e-07	0.0846114196256866	0.40767972247064	59652.9994348539	507264
"80%"	0.0359876474314062	0.0395200052071108	5.49889943818077e-07	0.084631867801186	0.407689399872773	59653.0911329204	507264
"82.5%"	0.0359883681427343	0.0395229639080909	6.06731659558808e-07	0.084663419584463	0.407700556290304	59653.1989667341	507264
"85%"	0.0359891710122779	0.039525585547169	6.72141935909703e-07	0.0846896417432412	0.407712764269185	59653.2999257464	507264
"87.5%"	0.0359901423279401	0.0395292877400982	7.45641747800991e-07	0.084725442177674	0.407726691221699	59653.4156539245	507264
"90%"	0.0359911760378861	0.0395326081609465	8.41975494579649e-07	0.0847576099899041	0.407741914960488	59653.5377666054	507264
"92.5%"	0.0359923410629521	0.0395373465915296	9.33999233632445e-07	0.0848020542961452	0.407762132859731	59653.666826956	507264
"95%"	0.0359938663064933	0.0395429674593479	1.03148863785118e-06	0.0848730878189715	0.407783671346349	59653.8401195842	507264
"97.5%"	0.035995985243745	0.039551607054369	1.21188951694119e-06	0.0849616629795635	0.407822824321595	59654.0563885815	507264
"100%"	0.0360161663248806	0.0396012534545002	2.75660231844684e-06	0.085441119423825	0.408031807364433	59654.6439380664	507264
"Mean"	0.0368896319393674	0.0430810149784041	4.59051166860116e-07	0.0942556026468638	0.412137984145349	-157441.337268706	507265
"Std."	1.26963827772033e-05	4.07460647440614e-05	4.47932709537473e-07	0.000367167696301985	0.000186449487190182	1.79746805515029	507265
"Acceptance ratio"	0.13234	0.16348	0.04178	0.18632	0.1514	0.51842	507265
"0%"	0.0368400990300541	0.0429376267805423	4.91635638125269e-10	0.0929293734757284	0.411409179583159	-157451.984833526	507265
"2.5%"	0.0368652617485123	0.0430001251849397	9.87528420981983e-09	0.0935222407164993	0.411765001988045	-157445.664556097	507265
"5%"	0.0368690111116011	0.0430143230970615	1.6454319189294e-08	0.0936682659746403	0.411830386837238	-157444.747018109	507265
"7.5%"	0.0368714858370142	0.0430225938338118	2.91425489290967e-08	0.093742602316025	0.411869041799923	-157444.208037637	507265
"10%"	0.036873777587935	0.0430298284986994	4.20441938164379e-08	0.0937977702377954	0.411901504881561	-157443.784442249	507265
"12.5%"	0.0368751145151868	0.0430343722146633	4.97582762444022e-08	0.0938414538872567	0.411924517445458	-157443.44161602	507265
"15%"	0.0368765886572321	0.0430388176293964	6.38142948343966e-08	0.0938855510009143	0.411945774042648	-157443.173665488	507265
"17.5%"	0.0368777030194598	0.0430436338802632	7.56132363607417e-08	0.0939206314677164	0.411966330540324	-157442.885977179	507265
"20%"	0.0368788411763006	0.0430470392272596	8.82128626436785e-08	0.0939569804345144	0.411979620972138	-157442.664978413	507265
"22.5%"	0.0368799630325144	0.0430507177998064	1.03247880274135e-07	0.0939852425820673	0.411997520079995	-157442.470855353	507265
"25%"	0.0368808631915292	0.0430539195926559	1.25890848773999e-07	0.0940136874359243	0.412013463474041	-157442.298567522	507265
"27.5%"	0.0368818956100162	0.0430570898256362	1.41481805855946e-07	0.0940386333429324	0.412026636164528	-157442.141428916	507265
"30%"	0.0368828676204486	0.0430600841847533	1.60275425612106e-07	0.0940642792367826	0.412040868905697	-157441.996304784	507265
"32.5%"	0.0368838266726623	0.0430626703714993	1.71739374607944e-07	0.0940901302150226	0.412053476443723	-157441.851373387	507265
"35%"	0.0368846331949221	0.0430656773359869	1.94982273781123e-07	0.0941150758265426	0.412065015622544	-157441.712002247	507265
"37.5%"	0.0368855710702619	0.0430680826787243	2.17475954146282e-07	0.0941392997476519	0.412077850687646	-157441.571158875	507265
"40%"	0.0368863730120398	0.0430708827111587	2.3354092924724e-07	0.094163957160687	0.41209213109601	-157441.444912684	507265
"42.5%"	0.0368870684662703	0.0430737489458074	2.5352732091646e-07	0.0941876641725146	0.412103977626354	-157441.328221807	507265
"45%"	0.0368877974798651	0.0430760230394873	2.76676966956903e-07	0.0942111024829276	0.412117303829357	-157441.19535523	507265
"47.5%"	0.0368886485632125	0.043078299323254	2.99758313726282e-07	0.0942339981013766	0.412127344743966	-157441.086346955	507265
"50%"	0.0368893702935496	0.0430808062270111	3.27424791103636e-07	0.0942559687376431	0.412140579203074	-157440.982730761	507265
"52.5%"	0.0368901131470938	0.0430834401613961	3.50813057586902e-07	0.0942757231451572	0.412154136985054	-157440.87710941	507265
"55%"	0.036890997239111	0.043085756818252	3.88758345994e-07	0.0943018500872793	0.412164168680915	-157440.775677632	507265
"57.5%"	0.0368917652563749	0.0430887441381652	4.19501548320304e-07	0.0943249176186738	0.412175865718463	-157440.676913339	507265
"60%"	0.036892589273556	0.0430909956623571	4.4301743916173e-07	0.0943474352406314	0.412187083927164	-157440.579158426	507265
"62.5%"	0.0368934691046578	0.0430935942468458	4.73573433055244e-07	0.0943686675433578	0.412199819858677	-157440.484920865	507265
"65%"	0.0368943047840698	0.0430963834732384	4.97025519800291e-07	0.0943920704630545	0.412211158538188	-157440.392587124	507265
"67.5%"	0.0368952518955625	0.0430989253544818	5.39229763500789e-07	0.094419695122878	0.412223851790806	-157440.293207998	507265
"70%"	0.0368962824212357	0.0431015651706636	5.76367855558136e-07	0.0944420406358729	0.412237189272647	-157440.192241342	507265
"72.5%"	0.0368971522296029	0.0431048285547332	6.25301844341871e-07	0.0944699384407576	0.412249672473395	-157440.097727063	507265
"75%"	0.0368980776436807	0.0431081551878681	6.54823948058846e-07	0.0944978494683235	0.412262761224316	-157440.001493753	507265
"77.5%"	0.0368991361010301	0.0431115511223282	7.07012044408117e-07	0.0945281268579736	0.412279570506714	-157439.903328011	507265
"80%"	0.0369002637237284	0.0431152461042401	7.65580049191169e-07	0.0945577122024778	0.412294063377186	-157439.805509808	507265
"82.5%"	0.0369014001152233	0.0431183500949524	8.17774653340093e-07	0.0945941077002485	0.412309687585058	-157439.707173421	507265
"85%"	0.0369027336771005	0.0431222782934434	8.82256761624797e-07	0.0946314066263461	0.412329375927003	-157439.60801312	507265
"87.5%"	0.036904406666674	0.043126427371985	9.51406545107038e-07	0.0946776952912493	0.412348352437138	-157439.497903818	507265
"90%"	0.0369062717225127	0.0431321333418028	1.05206718216954e-06	0.094730552143533	0.412376545206295	-157439.374680734	507265
"92.5%"	0.0369080194294791	0.0431377266467086	1.16236699133143e-06	0.0947811135568964	0.41240671567758	-157439.240514063	507265
"95%"	0.0369105606622801	0.0431471407597425	1.34016325202753e-06	0.0948513407862928	0.412447794139659	-157439.081919538	507265
"97.5%"	0.0369150620393987	0.0431628027673371	1.59234762574788e-06	0.0949653902848578	0.412497245561055	-157438.885704253	507265
"100%"	0.03693528298049	0.0432519853178025	3.65074312439724e-06	0.0955694917345707	0.412908740173678	-157438.296597805	507265
"Mean"	0.037426406172157	0.0402008058723984	9.10021451341818e-07	0.100297994210336	0.400820988185945	-103047.017707969	759877
"Std."	1.62886751233636e-05	5.43611707304813e-05	9.07097921417559e-07	0.000562207702774062	0.000233614139331106	1.73997966538947	759877
"Acceptance ratio"	0.17642	0.20644	0.08196	0.1378	0.19346	0.58058	759877
"0%"	0.0373614591360449	0.0399641286405108	1.82019843379599e-10	0.0984233604300901	0.399890577061521	-103061.74497444	759877
"2.5%"	0.037394713516324	0.0400924304352368	2.26855902526691e-08	0.0992648855339075	0.400369976686503	-103051.1728024	759877
"5%"	0.0373995379856316	0.0401099635532546	4.77488486041746e-08	0.0994057122573012	0.400442133139572	-103050.296505689	759877
"7.5%"	0.0374029206079157	0.0401224245221447	7.06372115449565e-08	0.0995229047709252	0.400484828358836	-103049.752097817	759877
"10%"	0.0374054283265476	0.0401305505742769	9.90299007613565e-08	0.0995950778652145	0.400521790286487	-103049.353423248	759877
"12.5%"	0.0374074975765504	0.0401375714578111	1.30003097956757e-07	0.099648183793541	0.400557122237999	-103049.037447426	759877
"15%"	0.0374094881805029	0.0401436702146534	1.51079547889825e-07	0.099712031880503	0.400579162477672	-103048.768250675	759877
"17.5%"	0.037411158058212	0.0401492436986889	1.78910533631773e-07	0.0997679022720482	0.400602469384598	-103048.521894982	759877
"20%"	0.0374125715879806	0.0401542186674877	2.07657665211127e-07	0.099810960804499	0.400624833010976	-103048.297256705	759877
"22.5%"	0.0374139324295069	0.0401595833470344	2.30716933445831e-07	0.0998623484096783	0.400646339681936	-103048.115881486	759877
"25%"	0.0374153774452205	0.0401641695030082	2.58267321277831e-07	0.0999088997989174	0.400664147554754	-103047.939427574	759877
"27.5%"	0.0374164779890807	0.0401685483437512	2.84604245914102e-07	0.0999509845679837	0.40068060221539	-103047.783752403	759877
"30%"	0.0374176106669522	0.0401729628548691	3.16406730541609e-07	0.0999907481114028	0.400697040588694	-103047.635106352	759877
"32.5%"	0.0374188098325701	0.0401769809380562	3.48260005171689e-07	0.100031972092085	0.400713915108316	-103047.486956582	759877
"35%"	0.0374198770633342	0.0401811142367528	3.87058005444687e-07	0.100070078428009	0.400731282682576	-103047.357573046	759877
"37.5%"	0.0374211089048954	0.0401844091954397	4.27946607197391e-07	0.10010901564612	0.400746676862379	-103047.231594654	759877
"40%"	0.0374220852213248	0.0401884153581028	4.62944256322757e-07	0.100141198874709	0.400760479292827	-103047.11383905	759877
"42.5%"	0.0374232715394143	0.0401920737648555	5.03870392965146e-07	0.100175320320852	0.400774759968789	-103047.000247338	759877
"45%"	0.0374243090710768	0.0401952074868541	5.45365190467058e-07	0.100212796635476	0.40078941782209	-103046.889358511	759877
"47.5%"	0.0374252879228982	0.0401986968268893	5.79309740324613e-07	0.100247346267335	0.400802839075578	-103046.777518066	759877
"50%"	0.0374266064235419	0.0402019377036945	6.27561600860082e-07	0.100278816867256	0.400816438104648	-103046.678392655	759877
"52.5%"	0.0374276625971487	0.0402059772131736	6.69351120109501e-07	0.100317076879809	0.40083026843434	-103046.581204728	759877
"55%"	0.0374287939301314	0.0402092489040097	7.23831596601433e-07	0.100352481193463	0.40084417265309	-103046.48059959	759877
"57.5%"	0.03742989415692	0.0402124006135162	7.71891689495477e-07	0.100393008567764	0.400860448857862	-103046.383602154	759877
"60%"	0.0374309551886809	0.0402163502033785	8.53845509401125e-07	0.100435408206751	0.400875450348165	-103046.291428036	759877
"62.5%"	0.0374319587038096	0.0402199305045335	9.03528441166555e-07	0.100469876279989	0.400892364301873	-103046.197195344	759877
"65%"	0.0374330119912685	0.040223517123692	9.78018950846412e-07	0.100505918391931	0.400906460840138	-103046.112259116	759877
"67.5%"	0.0374340486453593	0.040226568854409	1.05232768989577e-06	0.100544061307498	0.400923183081022	-103046.017073351	759877
"70%"	0.0374350868913727	0.0402302250522508	1.1093019443162e-06	0.100577586423266	0.400938282068713	-103045.938438021	759877
"72.5%"	0.0374363601883469	0.0402338243586326	1.18091197516938e-06	0.100616738346284	0.400957058881509	-103045.848057489	759877
"75%"	0.0374375153463347	0.0402378528218194	1.25821349424254e-06	0.100669242828195	0.400976203942675	-103045.749705436	759877
"77.5%"	0.0374387593867256	0.04024228946411	1.35050063549568e-06	0.10071721919899	0.400995070944374	-103045.652510914	759877
"80%"	0.0374399504784777	0.040246840904364	1.46320081690569e-06	0.100773672236351	0.401017143031759	-103045.551262274	759877
"82.5%"	0.0374413421942306	0.0402516168954725	1.5740356951048e-06	0.10082998343542	0.401043310563105	-103045.44805541	759877
"85%"	0.0374430087470114	0.0402563363902047	1.73138131513459e-06	0.100891661508476	0.401068931759819	-103045.347270873	759877
"87.5%"	0.0374451060697975	0.040262142092108	1.88941501972711e-06	0.100957258732374	0.401097586682535	-103045.245894989	759877
"90%"	0.0374473246795202	0.0402689258448103	2.07004102843152e-06	0.101031249269562	0.401125311485337	-103045.138179823	759877
"92.5%"	0.0374498582825058	0.0402769406852067	2.34431978277376e-06	0.101105868665722	0.401166480471228	-103044.999342607	759877
"95%"	0.0374529280839454	0.0402880188686907	2.71659078107437e-06	0.101247727757853	0.401210119541314	-103044.836240762	759877
"97.5%"	0.0374579368723608	0.0403036408505523	3.32287834945799e-06	0.101435847493869	0.401276584098458	-103044.639005503	759877
"100%"	0.0374931083167181	0.0404138903316041	8.28760879717677e-06	0.102351560538598	0.401775386008832	-103044.071147506	759877
